id,room_id,noted_date,temp,out_in
__export__.temp_log_196134_bd201015,Room Admin,08-12-2018 09:30,29,In
__export__.temp_log_196131_7bca51bc,Room Admin,08-12-2018 09:30,29,In
__export__.temp_log_196127_522915e3,Room Admin,08-12-2018 09:29,41,Out
__export__.temp_log_196128_be0919cf,Room Admin,08-12-2018 09:29,41,Out
__export__.temp_log_196126_d30b72fb,Room Admin,08-12-2018 09:29,31,In
__export__.temp_log_196125_b0fa0b41,Room Admin,08-12-2018 09:29,31,In
__export__.temp_log_196121_01544d45,Room Admin,08-12-2018 09:28,29,In
__export__.temp_log_196122_f8b80a9f,Room Admin,08-12-2018 09:28,29,In
__export__.temp_log_196111_6b7a0848,Room Admin,08-12-2018 09:26,29,In
__export__.temp_log_196112_e134aebd,Room Admin,08-12-2018 09:26,29,In
__export__.temp_log_196108_4a983c7e,Room Admin,08-12-2018 09:25,42,Out
__export__.temp_log_196108_4a983c7e,Room Admin,08-12-2018 09:25,42,Out
__export__.temp_log_196101_d5ec7633,Room Admin,08-12-2018 09:24,29,In
__export__.temp_log_196099_3b8ef67b,Room Admin,08-12-2018 09:24,29,In
__export__.temp_log_196095_788b2c27,Room Admin,08-12-2018 09:22,29,In
__export__.temp_log_196096_eafb59b6,Room Admin,08-12-2018 09:22,29,In
__export__.temp_log_196094_38501388,Room Admin,08-12-2018 09:21,41,Out
__export__.temp_log_196093_f0b3b649,Room Admin,08-12-2018 09:21,41,Out
__export__.temp_log_196090_b5f7ca9c,Room Admin,08-12-2018 09:20,29,In
__export__.temp_log_196087_e04d9477,Room Admin,08-12-2018 09:20,29,In
__export__.temp_log_196085_1e3e9e86,Room Admin,08-12-2018 09:19,42,Out
__export__.temp_log_196086_ab9ff962,Room Admin,08-12-2018 09:19,42,Out
__export__.temp_log_196082_e025abaa,Room Admin,08-12-2018 09:18,29,In
__export__.temp_log_196081_db1796b5,Room Admin,08-12-2018 09:18,29,In
__export__.temp_log_196080_911f4eef,Room Admin,08-12-2018 09:17,41,Out
__export__.temp_log_196079_7a0ef724,Room Admin,08-12-2018 09:17,41,Out
__export__.temp_log_196077_d97a0ff1,Room Admin,08-12-2018 09:16,29,In
__export__.temp_log_196076_93e253c7,Room Admin,08-12-2018 09:16,29,In
__export__.temp_log_196073_6cce2ad3,Room Admin,08-12-2018 09:14,29,In
__export__.temp_log_196071_cfb015ff,Room Admin,08-12-2018 09:14,29,In
__export__.temp_log_196065_a29349e0,Room Admin,08-12-2018 09:12,29,In
__export__.temp_log_196063_5facf520,Room Admin,08-12-2018 09:12,29,In
__export__.temp_log_196056_de074bc3,Room Admin,08-12-2018 09:09,42,Out
__export__.temp_log_196055_c4b4dac1,Room Admin,08-12-2018 09:09,42,Out
__export__.temp_log_196052_a206be15,Room Admin,08-12-2018 09:08,29,In
__export__.temp_log_196050_3c252aff,Room Admin,08-12-2018 09:08,29,In
__export__.temp_log_196048_e4e30610,Room Admin,08-12-2018 09:07,41,Out
__export__.temp_log_196047_da4d3971,Room Admin,08-12-2018 09:07,41,Out
__export__.temp_log_196039_a167c302,Room Admin,08-12-2018 09:05,29,In
__export__.temp_log_196038_b58a003f,Room Admin,08-12-2018 09:04,42,Out
__export__.temp_log_196037_fdf98314,Room Admin,08-12-2018 09:04,30,In
__export__.temp_log_196035_689daecd,Room Admin,08-12-2018 09:04,29,In
__export__.temp_log_196034_d592acf9,Room Admin,08-12-2018 09:03,42,Out
__export__.temp_log_196033_cec7562b,Room Admin,08-12-2018 09:03,30,In
__export__.temp_log_196026_8ad54b4f,Room Admin,08-12-2018 09:01,30,In
__export__.temp_log_196022_1b205f24,Room Admin,08-12-2018 09:00,29,In
__export__.temp_log_196021_0ed345a9,Room Admin,08-12-2018 09:00,29,In
__export__.temp_log_196020_dbaffc92,Room Admin,08-12-2018 08:58,29,In
__export__.temp_log_196018_adf4ef79,Room Admin,08-12-2018 08:58,29,In
__export__.temp_log_196016_20a6e7e2,Room Admin,08-12-2018 08:57,41,Out
__export__.temp_log_196014_8d2b9031,Room Admin,08-12-2018 08:55,30,In
__export__.temp_log_196015_db31e3bc,Room Admin,08-12-2018 08:55,30,In
__export__.temp_log_196010_238d7f2d,Room Admin,08-12-2018 08:53,42,Out
__export__.temp_log_196011_5a5158ba,Room Admin,08-12-2018 08:53,42,Out
__export__.temp_log_196003_7a23e92c,Room Admin,08-12-2018 08:52,29,In
__export__.temp_log_196000_3f2ed7ca,Room Admin,08-12-2018 08:52,29,In
__export__.temp_log_195999_728bba0f,Room Admin,08-12-2018 08:51,31,In
__export__.temp_log_195994_6650de18,Room Admin,08-12-2018 08:50,29,In
__export__.temp_log_195993_ca94691a,Room Admin,08-12-2018 08:50,29,In
__export__.temp_log_195983_fec1f952,Room Admin,08-12-2018 08:48,29,In
__export__.temp_log_195976_f524a948,Room Admin,08-12-2018 08:46,29,In
__export__.temp_log_195977_e1805396,Room Admin,08-12-2018 08:46,29,In
__export__.temp_log_195972_db46be7e,Room Admin,08-12-2018 08:42,29,In
__export__.temp_log_195969_8f5806db,Room Admin,08-12-2018 08:42,29,In
__export__.temp_log_195968_c5929341,Room Admin,08-12-2018 08:41,41,Out
__export__.temp_log_195966_7067918d,Room Admin,08-12-2018 08:41,30,In
__export__.temp_log_195967_fd90463b,Room Admin,08-12-2018 08:41,30,In
__export__.temp_log_195965_d674087f,Room Admin,08-12-2018 08:40,29,In
__export__.temp_log_195964_78b18ce8,Room Admin,08-12-2018 08:40,29,In
__export__.temp_log_195960_83b2ac63,Room Admin,08-12-2018 08:38,29,In
__export__.temp_log_195958_d1f1c452,Room Admin,08-12-2018 08:38,29,In
__export__.temp_log_195952_80703f87,Room Admin,08-12-2018 08:36,29,In
__export__.temp_log_195953_8d40d5d6,Room Admin,08-12-2018 08:36,29,In
__export__.temp_log_195946_950a05dd,Room Admin,08-12-2018 08:34,29,In
__export__.temp_log_195947_788677b5,Room Admin,08-12-2018 08:34,29,In
__export__.temp_log_195943_2f2b26fa,Room Admin,08-12-2018 08:33,41,Out
__export__.temp_log_195942_5e1c858f,Room Admin,08-12-2018 08:33,41,Out
__export__.temp_log_195937_fb578c35,Room Admin,08-12-2018 08:32,29,In
__export__.temp_log_195935_ab01285d,Room Admin,08-12-2018 08:32,29,In
__export__.temp_log_195933_53aa6200,Room Admin,08-12-2018 08:31,41,Out
__export__.temp_log_195932_988cb49a,Room Admin,08-12-2018 08:31,41,Out
__export__.temp_log_195929_7e57e39e,Room Admin,08-12-2018 08:30,29,In
__export__.temp_log_195928_bf913f02,Room Admin,08-12-2018 08:30,29,In
__export__.temp_log_195923_6788ab66,Room Admin,08-12-2018 08:28,29,In
__export__.temp_log_195921_54b29c20,Room Admin,08-12-2018 08:28,29,In
__export__.temp_log_195919_2c731f8f,Room Admin,08-12-2018 08:27,41,Out
__export__.temp_log_195918_0b04645d,Room Admin,08-12-2018 08:27,41,Out
__export__.temp_log_195915_0f898d60,Room Admin,08-12-2018 08:26,29,In
__export__.temp_log_195914_c287670c,Room Admin,08-12-2018 08:26,29,In
__export__.temp_log_195913_12036871,Room Admin,08-12-2018 08:25,41,Out
__export__.temp_log_195912_d1225202,Room Admin,08-12-2018 08:25,41,Out
__export__.temp_log_195909_4bb4aa6e,Room Admin,08-12-2018 08:24,29,In
__export__.temp_log_195910_45867a15,Room Admin,08-12-2018 08:24,29,In
__export__.temp_log_195906_25300ce4,Room Admin,08-12-2018 08:23,41,Out
__export__.temp_log_195907_a93e5292,Room Admin,08-12-2018 08:23,41,Out
__export__.temp_log_195905_c6c4e9b4,Room Admin,08-12-2018 08:22,29,In
__export__.temp_log_195904_2e517ede,Room Admin,08-12-2018 08:22,29,In
__export__.temp_log_195900_d8ef0bf6,Room Admin,08-12-2018 08:21,40,Out
__export__.temp_log_195901_224e9da3,Room Admin,08-12-2018 08:21,40,Out
__export__.temp_log_195897_5db0f878,Room Admin,08-12-2018 08:20,29,In
